P0120006,Male: !! 15 to 17 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0120007,Male: !! 18 and 19 years,rate_male_18_35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0120008,Male: !! 20 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0120009,Male: !! 21 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0120010,Male: !! 22 to 24 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0120011,Male: !! 25 to 29 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0120012,Male: !! 30 to 34 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0120013,Male: !! 35 to 39 years,rate_male_35_50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0120014,Male: !! 40 to 44 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0120015,Male: !! 45 to 49 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0120016,Male: !! 50 to 54 years,rate_male_50_75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0120017,Male: !! 55 to 59 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0120018,Male: !! 60 and 61 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0120019,Male: !! 62 to 64 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0120020,Male: !! 65 and 66 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0120021,Male: !! 67 to 69 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0120022,Male: !! 70 to 74 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0120023,Male: !! 75 to 79 years,rate_male_over_75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0120024,Male: !! 80 to 84 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0120025,Male: !! 85 years and over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0120026,Female: !! 85 years and over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0120027,Female: !! Under 5 years,rate_female_under_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0120028,Female: !! 5 to 9 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0120029,Female: !! 10 to 14 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0120030,Female: !! 15 to 17 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0120031,Female: !! 18 and 19 years,rate_female_18_35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0120032,Female: !! 20 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0120033,Female: !! 21 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0120034,Female: !! 22 to 24 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0120035,Female: !! 25 to 29 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0120036,Female: !! 30 to 34 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0120037,Female: !! 35 to 39 years,rate_female_35_50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0120038,Female: !! 40 to 44 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0120039,Female: !! 45 to 49 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0120040,Female: !! 50 to 54 years,rate_female_50_75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0120041,Female: !! 55 to 59 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0120042,Female: !! 60 and 61 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0120043,Female: !! 62 to 64 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0120044,Female: !! 65 and 66 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0120045,Female: !! 67 to 69 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0120046,Female: !! 70 to 74 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0120047,Female: !! 75 to 79 years,rate_female_over_75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0120048,Female: !! 80 to 84 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0120049,Female: !! 85 years and over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0180001,Households,rate_households,no of households/no housing units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0180002,Family households:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0180003,Family households: !! Husband-wife family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0180004,Family households: !! Other family:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
